Tx_ma,RX_ma,SRC_ma,DST_ma,0,RSSI,TX_rate,Time_sniff
e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,60,-46,1.0,2019-06-11 13:48:38.939890
e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,60,-46,1.0,2019-06-11 13:48:38.940474
e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,60,-46,1.0,2019-06-11 13:48:38.941048
e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,60,-47,1.0,2019-06-11 13:48:38.941555
e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,60,-46,1.0,2019-06-11 13:48:38.942240
94:b4:0f:e1:b7:c1,40:4e:36:1f:e8:34,94:b4:0f:e1:b7:c1,40:4e:36:1f:e8:34,196,-54,6.0,2019-06-11 13:48:38.973992
18:64:72:e0:8b:62,f0:98:9d:1c:43:28,18:64:72:e0:8b:62,f0:98:9d:1c:43:28,196,-52,6.0,2019-06-11 13:48:39.199808
18:64:72:e0:8b:62,f0:98:9d:1c:43:28,18:64:72:e0:8b:62,f0:98:9d:1c:43:28,196,-50,6.0,2019-06-11 13:48:39.210503
18:64:72:e0:8b:62,f0:98:9d:1c:43:28,18:64:72:e0:8b:62,f0:98:9d:1c:43:28,196,-50,6.0,2019-06-11 13:48:39.229869
0c:8c:24:8c:10:5c,00:21:2f:50:39:29,0c:8c:24:8c:10:5c,00:21:2f:50:39:29,63,-86,1.0,2019-06-11 13:48:39.300435
94:b4:0f:e1:b7:c1,01:00:5e:00:00:fb,dc:ef:ca:cc:9a:bc,01:00:5e:00:00:fb,167,-54,6.0,2019-06-11 13:48:39.868635
18:64:72:e0:8b:60,d8:9c:67:b9:1b:47,18:64:72:e0:8b:60,d8:9c:67:b9:1b:47,217,-48,6.0,2019-06-11 13:48:40.258917
